dataset,classifier,algo,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_trials
column,rf,WOA,3.8181818181818183,0.21628172046822877,0.05056313736071657,3.3447980661331758,1.055619148258706,0.49278350686394445,0.018882899009402897,11
column,svm,GA,3.3333333333333335,0.3362667526425002,0.17618566270912697,4.649103487085108,0.6845085686843448,0.4317871034713634,0.04904739359515156,3
column,svm,GWO,2.5,0.3874001585153036,0.10117486783932723,4.858392853866436,0.3718236792223673,0.41716727295319006,0.027395390754073802,4
column,svm,PSO,2.7857142857142856,0.3561588027703358,0.13752177801734553,4.8431062467369275,0.7860991691839765,0.4429718698951138,0.08083650085388201,14
column,svm,WOA,2.5,0.3575978529553353,0.11094235153115424,4.37175330487733,1.0029659195380027,0.44533506989904426,0.056824292854724276,4
column,xgb,GA,4.0,0.2855766602987681,,4.067741340452188,,0.4087045042313115,,1
column,xgb,GWO,3.75,0.27975624879655936,0.011640823004417544,3.9016417359349687,0.332199209034439,0.4213558315232622,0.025302654583901445,4
column,xgb,PSO,4.0,0.2855766602987681,0.0,4.067741340452188,0.0,0.4087045042313115,3.204937810639273e-17,4
column,xgb,WOA,3.5294117647058822,0.2602972048063973,0.03374863467394207,3.715902279673396,0.3673640837065092,0.43292517933828784,0.025896395660611252,17
congressional-voting,rf,GA,2.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,3
congressional-voting,rf,GWO,2.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,5
congressional-voting,rf,PSO,2.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,8
congressional-voting,rf,WOA,2.0,0.17503378235133857,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,13
congressional-voting,svm,GA,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,3
congressional-voting,svm,GWO,2.888888888888889,0.13046047790612544,0.020539330612524765,2.123037702938414,0.04467999463303378,0.5635222982688638,0.008957790402867065,9
congressional-voting,svm,PSO,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,4
congressional-voting,svm,WOA,2.923076923076923,0.12835387989458444,0.01708975608165352,2.12762026649052,0.037176002685429047,0.5626035505352364,0.007453332141322247,13
congressional-voting,xgb,GA,2.857142857142857,0.12162545092380403,0.053192640218459625,1.8696232138619913,0.020268283481873765,0.6393363979764016,0.016099028593149545,7
congressional-voting,xgb,GWO,2.5,0.12579286183493182,0.053187282959765485,1.7896631002652192,0.21153468921890026,0.6609542414928178,0.050829677104793754,8
